 , ,BI3214,BI3224,BI3234,BI3244,BI3254,BI3264,BI3274,BI3284,BI3294,BI3413,BI3423,BI3433,BI3444,BIO312,BIO402,BIO415,BIO463,CH3214,CH3224,CH3234,CH3243,CH3253,CH4214,CH4224,CHM402,CHM410,CHM420,CHM423,CHM428,CHM433,CHM442,DS4613,EC3214,EC3224,EC3234,EC3243,EC3253,EC3264,EC3274,EC3284,EC3293,EC4213,EC4224,EC4234,ECS402,ECS442,ECS456,HS3213,HS3223,HS3234,HS3244,HS3253,HS3264,HS3274,HSS367,HSS368,HSS402,MT3214,MT3224,MT3244,MT3254,MTH402,MTH411,MTH422,MTH423,MTH424,MTH426,PH3253,PH3264,PH3273,PH4213,PHY342,PHY402,PHY420,PHY422,PHY434,PHY441,PHY463,PHY464,PHY557,CD
 , ,[4],[4],[4],[4],[4],[4],[4],[4],[4],[3],[3],[3],[4],[4],[3],[4],[4],[4],[4],[4],[3],[3],[4],[4],[3],[4],[4],[4],[4],[3],[3],[3],[4],[4],[4],[3],[3],[4],[4],[4],[3],[3],[4],[4],[3],[3],[3],[3],[3],[4],[4],[3],[4],[4],[4],[3],[3],[4],[4],[4],[4],[3],[4],[4],[4],[4],[4],[3],[4],[3],[3],[3],[3],[4],[4],[3],[3],[3],[3],[3],
1,Test, , , , , , , , , , , , , ,Y, ,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,19
2,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, ,Y, , ,Y,Y, ,Y,Y,Y, , ,22
3,Test, , , ,Y, , , , ,Y, , , , , ,Y, ,Y, , , ,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , ,25
4,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
5,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
6,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , ,Y, ,Y, , , ,Y,Y, ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,21
7,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
8,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
9,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
