 , ,BI3214,BI3224,BI3234,BI3244,BI3254,BI3264,BI3274,BI3284,BI3294,BI3413,BI3423,BI3433,BI3444,BI3613,CH3214,CH3224,CH3234,CH3243,CH3253,CH3613,DS3613,EC3214,EC3224,EC3234,EC3243,EC3253,EC3284,EC3613,ECS456,HS3213,HS3223,HS3234,HS3244,HS3253,HS3264,HS3274,HS3613,MT3214,MT3224,MT3234,MT3244,MT3254,MT3264,MT3613,PH3214,PH3224,PH3234,PH3244,PH3253,PH3264,PH3273,PH3613,CD
 , ,[4],[4],[4],[4],[4],[4],[4],[4],[4],[3],[3],[3],[4],[3],[4],[4],[4],[3],[3],[3],[3],[4],[4],[4],[3],[3],[4],[3],[3],[3],[3],[4],[4],[3],[4],[4],[3],[4],[4],[4],[4],[4],[4],[3],[4],[4],[4],[4],[3],[4],[3],[3],
215,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
216,Test,Y,Y,Y,Y, , , , , , , , , , , , , , , , , ,Y, , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , ,23
217,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
218,Test,Y, ,Y, , , , , ,Y, , ,Y, ,Y, , , , , , , , , , , , , , , , ,Y, , ,Y, , , , , , , , , , , , , , , , , , ,24
219,Test, , ,Y, , , , ,Y,Y,Y,Y, ,Y, , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , ,25
220,Test, , , ,Y, , , , , , , , , , , , , , , , , ,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , , , ,22
221,Test,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, ,Y,Y,Y, , , , , ,Y, , , , ,24
222,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
223,Test, , , , , , , , , , , , , , ,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , ,22
224,Test, , , ,Y, ,Y, , ,Y, ,Y,Y, , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , ,Y, , , , , , , , , ,25
225,Test, , , , , ,Y, , , , ,Y, , , , , , , , , , , ,Y, , , , , , , , , , , , , , ,Y, , , ,Y,Y, , , , , , , , , ,23
226,Test,Y,Y, , , , , , , , , , ,Y,Y, , , , ,Y, , , , , , , , , , , ,Y, , , ,Y, , , , , , , , , , , , , , , , , ,25
227,Test,Y, ,Y, , ,Y, , , , , ,Y, ,Y, , , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , , , ,Y, , , , , ,25
228,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
229,Test,Y,Y,Y, , , , , ,Y, , , , ,Y, , , , , , , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , ,23
230,Test, ,Y, , , , , , , , , , , , ,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22
231,Test, , , , , ,Y, , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y, , ,Y, , ,23
232,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
233,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y, ,Y,Y, , , , , , , , ,23
234,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y, ,Y,Y, ,23
235,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y, ,Y,Y, ,23
236,Test,Y,Y, , , , , ,Y, , , , ,Y, , , , ,Y, , , , , , , , , , , , ,Y, , ,Y, , , , , , , , , , , , , , , , , , ,25
237,Test, , , , , , , ,Y, , , , , , ,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22
238,Test, , , , , , , , , , , , , , , , , , , , ,Y, ,Y, , , , , , , , , , , , , , ,Y, ,Y, , ,Y, , , ,Y, , , , , ,23
239,Test, , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , ,Y,Y, , ,Y, , ,Y, ,Y, , , , , , , , , ,22
240,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , ,Y,Y,Y,Y,Y, , , ,23
241,Test, ,Y, , , ,Y, , ,Y, , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y, , , , , , , , , ,24
242,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
243,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
244,Test, ,Y,Y, , , , , ,Y, , , , , , , , , , , , , , , , , , , , , ,Y, ,Y, ,Y, , , , , , , , , , , , , , , , , ,23
245,Test, , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , ,Y,Y, ,Y, ,Y, , , , , ,23
246,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
247,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y, ,Y,Y, ,23
248,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
249,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y,Y,Y, , ,23
250,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
251,Test, ,Y, , , , , ,Y, ,Y, , ,Y,Y, ,Y, ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,25
252,Test,Y, , , ,Y, , ,Y,Y, , , , , , , , ,Y, , , , , , , , , , , ,Y, , , ,Y, , , , , , , , , , , , , , , , , , ,25
253,Test, ,Y, , ,Y, , , , , ,Y, ,Y, , , , , , , , , , , , , , , , , , , , , ,Y,Y, , , , , , , , , , , , , , , , ,23
254,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
255,Test, , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , , ,22
256,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
257,Test, , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , , , , , , ,Y, ,Y, , ,Y,Y,Y,25
258,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
259,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, ,Y, , , , ,Y,Y,Y,Y, , , , ,24
260,Test,Y,Y, ,Y,Y, , ,Y, , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,23
261,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y, ,Y,Y, , , , , , , , ,23
262,Test, , , , ,Y, , , , ,Y, , , , ,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,25
263,Test, ,Y,Y, ,Y, , , ,Y, , ,Y, , , , , , , , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , ,22
264,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y, ,Y,Y,Y, , , , ,Y,23
265,Test, , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, ,Y,Y, ,Y, , , , ,Y, , , , ,23
266,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , ,Y,Y,Y,Y, ,Y, , , , , , , , , ,23
267,Test, ,Y, , ,Y, , , , , ,Y,Y,Y, , , ,Y, ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,25
268,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y, ,Y, ,Y,23
269,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
270,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
271,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y, ,Y,Y, ,Y,22
272,Test,Y,Y,Y, , , , , ,Y, , ,Y, ,Y, , , , , , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , ,25
273,Test, ,Y, , ,Y, , , , , ,Y, ,Y, , , , , , , , , , , , , , , , , , , , , ,Y,Y, , , , , , , , , , , , , , , , ,23
274,Test,Y, ,Y, , , , , , , ,Y, ,Y,Y, , , , , , , , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , ,22
275,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
276,Test,Y,Y,Y, , , , , , , ,Y, ,Y, , , , , , , , , , , , , , , , ,Y, , , , , , ,Y, , , , , , , , , , , , , , , ,25
277,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
278,Test, , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y, ,Y, , ,23
279,Test, ,Y,Y, , ,Y, , , , , , ,Y,Y, , , , , , , , , , , , , , , , ,Y, , ,Y, , , , , , , , , , , , , , , , , , ,25
280,Test, ,Y, , ,Y, , , , ,Y, ,Y,Y,Y, , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , ,24
281,Test, , , , , , , , , , , , , , ,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18
282,Test, ,Y, ,Y,Y, ,Y, , , , , ,Y, ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24
283,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y,Y,Y, , ,23
284,Test, , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , ,Y,Y, , , , , , ,Y, ,Y, , ,Y,Y, , , , , , , , ,24
285,Test, , , , , , , , , ,Y, , , , ,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,21
286,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
287,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y,Y,Y, , ,23
288,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y, , ,Y,Y,22
289,Test,Y,Y,Y, , ,Y, ,Y, , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,23
290,Test, , , ,Y,Y,Y, , , , ,Y, ,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22
291,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
292,Test, , , , , , , , , , ,Y, , , ,Y, , , , , , , , , , , , , , , , , , , , , , ,Y, ,Y, ,Y,Y, , , , , , , , , ,23
293,Test, , , , , , , , , , , , , , ,Y,Y,Y,Y,Y, , , , , , , , , , , ,Y, , , , , , , , , , ,Y, , , , , , , , , , ,25
294,Test, , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , ,Y, , , , , , ,Y, ,Y, ,Y,Y, , , , , , , , , ,23
295,Test,Y, ,Y,Y,Y, , , ,Y, , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,23
296,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y,Y,Y, , ,23
297,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , ,Y,Y,Y, , ,Y, ,Y,23
298,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y,Y,Y, , ,23
299,Test, , ,Y, , ,Y, , , , ,Y,Y, , , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , ,Y, , , ,Y, , , , , ,25
300,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
301,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
302,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, , , , , , ,Y, ,Y, ,Y,Y,Y, , , , , , , , ,22
