 , ,BI3254,BI3264,BI3413,BI3423,BI5214,BIO591,CH6432,CHM410,CHM433,HS3264,LRP201,MSP502,MT3224,MT3254,MT5214,MT5224,MT5234,MTH411,MTH422,MTH424,MTH426,PH3253,PH3264,PH3273,PH4213,PH6212,PH6222,PHY342,PHY420,PHY422,PHY434,PHY463,PHY464,PHY557,PRB201,PRC201,SRB201,SRC202,CD
 , ,[4],[4],[3],[3],[4],[4],[2],[4],[3],[4],[3],[4],[4],[4],[4],[4],[4],[4],[4],[4],[4],[3],[4],[3],[3],[2],[2],[3],[4],[4],[3],[3],[3],[3],[10],[5],[5],[2],
416,Test, , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, ,Y, ,19
417,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
418,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
419,Test, , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, ,Y, ,19
420,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
421,Test, , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, ,Y, ,19
422,Test, , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, ,Y, ,19
423,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
424,Test, , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, ,Y, ,19
425,Test, , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, ,Y, ,19
426,Test, , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, ,Y, ,19
427,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
428,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
429,Test, ,Y, , , , , ,Y, , ,Y, , , , , , , , , , , ,Y, , , , , ,Y,Y,Y, , , , , , , ,26
430,Test,Y, , ,Y, , , ,Y, ,Y,Y, , , , , , , , , , , , ,Y, , , , , ,Y,Y, , , , , , , ,28
431,Test, , , , , , , , , , , , , , , , , , , , , ,Y, , , , , , ,Y,Y,Y, ,Y,Y, , , , ,20
432,Test, , , , , , , ,Y, , ,Y, , , , , , , , , , ,Y, ,Y,Y,Y,Y, ,Y,Y,Y,Y, , , , , , ,34
433,Test, , , , , , , ,Y, , ,Y, , , , , , , , , , , , , , , ,Y, ,Y,Y,Y,Y, , , , , , ,23
434,Test, , , , , , , , , , ,Y, , , , , , , , , , ,Y, , ,Y,Y,Y, , ,Y, , , ,Y, , , , ,20
435,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
436,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
437,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
438,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
439,Test, , ,Y, , , ,Y, ,Y, , , , , , , , , , , , , , , , , , ,Y, , , , , , , ,Y, ,Y,18
440,Test, , , , , , , , , , , ,Y, ,Y, , , ,Y, , ,Y, , , , , , , , , , , , , , , , , ,16
441,Test, , , , , , , , , , ,Y,Y, , , ,Y, , ,Y,Y, , , , , , , , , , , , , , , , , , ,19
442,Test, , , , , , , , , , , ,Y, , ,Y, ,Y, , , , , , , , , , , , , , , , , , , , , ,12
443,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
444,Test, , , , , , , , , , , ,Y, , ,Y, ,Y, , , , , , , , , , , , , , , , , , , , , ,12
445,Test, , , , , , , , , , , ,Y,Y,Y,Y, , ,Y, , ,Y, , , , , , , , , , , , , , , , , ,24
