 , ,BI3214,BI3224,BI3234,BI3244,BI3254,BI3274,BI3284,BI3294,BI3413,BI3423,BI3433,BI3444,BI5223,BIO463,CH3214,CH3224,CH3234,CH3243,CH3253,CH4214,CH5212,CHM433,CHM442,MT3214,MT3224,MT3244,MTH411,MTH423,PH3214,PH3224,PH3234,PH3244,PH3253,PH3264,PH3273,PH5613,CD
 , ,[4],[4],[4],[4],[4],[4],[4],[4],[3],[3],[3],[4],[3],[4],[4],[4],[4],[3],[3],[4],[2],[3],[3],[4],[4],[4],[4],[4],[4],[4],[4],[4],[3],[4],[3],[3],
446,Test, ,Y,Y, ,Y, ,Y, , , , , ,Y,Y, , , , , , , , , , , , , , , , , , , , , , ,23
447,Test, ,Y, , ,Y, , , , , ,Y,Y, ,Y, , , , , , , , , , , , , , , , , , , , , ,Y,22
448,Test, , ,Y, ,Y, ,Y,Y, , ,Y, , , , , , , , , , , , , , , , , , , , , , , , ,Y,22
449,Test,Y, ,Y,Y, ,Y, ,Y, , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , ,23
450,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
451,Test, ,Y, , ,Y, ,Y, , , , ,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , ,23
452,Test, ,Y,Y, ,Y, , , , , , , ,Y,Y, , , , , , , , , , , , , , , , , , , , , , ,19
453,Test, , , , , , , , , , , , , , ,Y,Y,Y,Y,Y, , ,Y,Y, , , , , , , , , , , , , ,24
454,Test, , , , , , , , , ,Y, , , , ,Y,Y,Y,Y,Y, , ,Y, , , , , , , , , , , , , , ,24
455,Test, , , , , , , , , , , , , , ,Y,Y,Y,Y,Y, , ,Y,Y, , , , , , , , , , , , , ,24
456,Test, , , , , , , , , , , , , , ,Y,Y,Y,Y,Y, , ,Y,Y, , , , , , , , , , , , , ,24
457,Test, , , , , , , , , , , , , , ,Y,Y,Y,Y,Y,Y, , ,Y, , , , , , , , , , , , , ,25
458,Test, , , , , , , , , , , , , , ,Y,Y,Y,Y,Y, ,Y, ,Y, , , , , , , , , , , , , ,23
459,Test, , , , , , , , ,Y, , , , , ,Y,Y,Y,Y,Y, , , ,Y, , , , , , , , , , , , , ,24
460,Test, , , , , , , , , , , , , , ,Y,Y,Y,Y,Y,Y, , ,Y, , , , , , , , , , , , , ,25
461,Test, , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y,Y, , , , , , , , ,20
462,Test, , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y,Y, , , , , , , , ,20
463,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y, ,Y,Y, ,Y,22
464,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
465,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y, ,Y,Y, ,Y,22
466,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
467,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
468,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
469,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y,Y,Y, , ,23
470,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
471,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
472,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y, , ,Y,Y,22
473,Test, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
